"We use cookies to make your experience better.","Daha iyi bir deneyim için çerez kullanılmaktadır."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Yeni e-Gizlilik direktifine uymak için çerezleri ayarlamanız için onayınızı istemek zorundayız."
"Got it!","Anladım!"
"Allow Cookies","Çerezlere izin ver"
Deny,Reddet
"Learn more","Devamını oku."
"Privacy and Cookie Policy","Gizlilik ve Çerez Politikası"
Top,Üst
Bottom,Alt
"Top Left","Üst Sol"
"Top Right","Üst Sağ"
"Bottom Left","Alt Sol"
"Bottom Right","Alt Sağ"
Block,Blok
Edgeless,Çerçevesiz
Classic,Klasik
Info,"Sadece Bilgilendir"
Opt-In,Opt-In
Opt-Out,Opt-Out
General,"Genel"
"Compliance Level","Rıza Düzeyi"
Revokable,"Geri alınabilir"
"Only allow cookies over https","Sadece https üzerinden çerezlere izin ver"
"Cookie Policy Link","Çerez Politikası Linki"
"Popup Background Color","Popup arkaplan rengi"
"Any CSS valid color value.","Herhangi bir geçerli CSS renk değeri."
"Popup Button Background Color","Popup buton arkaplan rengi"
Appearance,"Görünüm"
Position,"Konum"
